Date,Symbols,Close,High,Low,Open,Volume
2015-01-20,MCHI,45.2663,45.3312,45.0688,45.1426,1160056.6726859
2015-01-20,QQQ,95.4994,95.74600000000001,94.2558,95.3138,29694345.384997997
2015-01-20,AAPL,24.502,24.5169,24.0017,24.3142,365347412.28227
2015-01-20,BABA,100.04,100.21,97.59,98.3,12076450.0
2015-01-20,TSLA,12.7953,12.9413,12.4693,12.9247,91508445.0
2015-01-20,META,76.24,76.31,74.82,75.72,24361814.0
2015-01-20,XOM,63.0355,63.512,62.5454,62.8758,24165504.807074
2015-01-20,AMZN,14.472000000000001,14.668,14.3195,14.6295,83567140.0
2015-01-20,GOOGL,25.497,25.7805,25.4685,25.6385,71136680.0
2015-01-21,DIA,156.254,156.60399999999998,154.724,155.29399999999998,7024774.485427001
2015-01-21,SPY,176.984,177.472,175.092,175.58,141068017.54278
2015-01-21,MCHI,46.7159,46.7439,46.0615,46.1094,498634.27654528
2015-01-21,QQQ,95.9905,96.4326,94.8836,95.219,36714299.351879
2015-01-21,AAPL,24.6977,25.0312,24.4011,24.5589,243556649.68633
2015-01-21,BABA,103.29,103.86,100.32,100.75,15176891.0
2015-01-21,TSLA,13.1047,13.2453,12.6367,12.6367,80837895.0
2015-01-21,META,76.74,77.3,75.85,76.16,23843568.0
2015-01-21,XOM,63.5767,63.6611,62.9817,63.4885,20629841.427127
2015-01-21,AMZN,14.8625,15.3,14.363,14.482000000000001,252913420.0
2015-01-21,GOOGL,26.0195,26.0925,25.4795,25.541999999999998,75885180.0
2015-01-22,DIA,158.483,158.683,155.524,156.773,10719885.254445
2015-01-22,SPY,179.563,179.692,176.287,177.731,199888091.10807
2015-01-22,MCHI,47.5041,47.542,46.6531,46.7968,757121.27062712
2015-01-22,QQQ,97.7681,97.8659,95.5234,96.3648,36722916.884844
2015-01-22,AAPL,25.3358,25.3508,24.7376,24.8625,339451486.27165
2015-01-22,BABA,104.0,104.92,103.1,104.6,11417579.0
2015-01-22,TSLA,13.4413,13.5493,13.0133,13.1333,83643900.0
2015-01-22,META,77.65,77.75,76.68,77.17,20763043.0
2015-01-22,XOM,64.2679,64.3385,63.1944,63.8806,19592578.065702
2015-01-22,AMZN,15.515999999999998,15.6125,15.0,15.015,142473720.0
2015-01-22,GOOGL,26.865,26.941999999999997,26.0955,26.15,104424740.0
2015-01-23,DIA,157.173,158.38299999999998,157.16299999999998,158.273,5380544.8683829
2015-01-23,SPY,178.607,179.563,178.458,179.354,134833747.28438002
2015-01-23,MCHI,47.3155,47.4522,47.2717,47.3155,263581.85958747
2015-01-23,QQQ,97.9737,98.2801,97.4796,97.7581,34310771.119557
2015-01-23,AAPL,25.4686,25.6384,25.1411,25.3208,223840226.44814
2015-01-23,BABA,103.11,105.2,103.02,104.02,9871017.0
2015-01-23,TSLA,13.4193,13.5667,13.222000000000001,13.344000000000001,66870135.0
2015-01-23,META,77.83,78.19,77.04,77.65,17508692.0
2015-01-23,XOM,62.9002,63.9963,62.8278,63.8944,21245753.078837
2015-01-23,AMZN,15.6195,15.8465,15.386,15.404000000000002,182431100.0
2015-01-23,GOOGL,27.0975,27.2705,26.7875,26.93,101928500.0
2015-01-26,DIA,157.243,157.44299999999998,156.264,156.983,4186636.3144638
2015-01-26,SPY,179.025,179.135,177.63099999999997,178.358,105339375.57836999
2015-01-26,MCHI,47.2367,47.4323,47.1469,47.1988,288802.59652482
2015-01-26,QQQ,97.8659,98.0385,97.3838,97.8659,21216001.458504997
2015-01-26,AAPL,25.4926,25.7762,25.4277,25.6364,246493193.05313998
2015-01-26,BABA,103.99,105.13,103.33,104.4,10662060.0
