Date,DIA,SPY,AAPL,AMZN,BABA,GOOGL,MCHI,META,QQQ,TSLA,XOM
4/2/2015,0.003043117,0.003705123,0.008596253,0.005374602,-0.000971345,-0.014886531,0.012272586,-0.001346884,0.000595173,0.018175276,-0.001865716
4/6/2015,0.007578391,0.006447578,0.016129146,0.012867696,-0.005590666,0.004877058,0.011408639,0.010789603,0.008042682,0.063353569,0.009815427
4/7/2015,-0.000940958,-0.002463528,-0.010431705,-0.006975387,0.004766561,0.001672948,0.000726786,-0.001455604,-0.001799273,0.000738552,0.007343941
4/8/2015,0.001946478,0.003290979,-0.003152682,0.018135199,0.038681426,0.007304629,0.060970233,-0.000485909,0.008315059,0.021749077,-0.019773055
4/9/2015,0.00344672,0.004653795,0.007623437,0.00613851,0.00878323,-0.00149406,0.043659171,-0.001336898,0.006061692,0.011650668,0.007039511
4/10/2015,0.005246,0.005386959,0.00408139,-0.002320488,-0.018110053,0.00094887,-0.009381493,-0.001582086,0.00404646,0.003855491,0.010714988
4/13/2015,-0.003727588,-0.004493184,-0.001981981,-0.000757873,-0.003546938,0.000182302,0.008359665,0.011823501,-0.002463418,-0.005312945,-0.002560506
4/14/2015,0.002743792,0.001956199,-0.004173911,0.007192175,0.008542952,-0.016149023,-0.008929175,0.006023371,-0.002755964,-0.011054464,0.015110573
4/15/2015,0.003787266,0.004401034,0.003736578,-0.004310457,-0.003882353,0.002334284,0.004208561,-0.009579691,0.006131384,0.001778652,0.016735872
4/16/2015,0.000185861,-0.000325781,-0.004733505,0.006754466,-0.007204441,0.004583765,0.01546565,-0.004836175,-0.001378292,-0.005434743,-0.003959545
4/17/2015,-0.015658971,-0.011628728,-0.011434755,-0.027147446,-0.025695931,-0.019833677,-0.034937689,-0.018588264,-0.015644501,0.000435414,-0.009115572
4/20/2015,0.011761152,0.009358583,0.023031304,0.037144531,0.003663004,0.022130871,0.005549971,0.028596187,0.014991773,-0.007348034,0.003563183
4/21/2015,-0.004229329,-0.001137879,-0.005568465,0.004287438,0.002676399,-0.002956678,0.021596544,0.006378626,0.004233065,0.020168509,-0.00409388
4/22/2015,0.004372213,0.004774727,0.013459349,-0.003527788,-0.004489202,0.011530244,0.018763675,0.01207845,0.005492562,0.047891581,0.006648568
4/23/2015,0.001616895,0.002484512,0.00847347,0.000487429,0.002803169,0.015077024,-0.008418451,-0.026231833,0.003908808,-0.003827934,0.000957008
4/24/2015,0.000993406,0.002424242,0.004661115,0.141311316,0.027831794,0.029060381,0.000175811,-0.010678316,0.013695697,-0.000775391,-0.006549562
4/27/2015,-0.001984841,-0.004296942,0.01808655,-0.014693327,0.003902093,-0.013143674,0.013485864,0.004660861,-0.002496639,0.060067298,0.000481198
4/28/2015,0.003660613,0.003236614,-0.015933083,-0.021091755,0.002120141,-0.003091217,0.000483901,-0.015016482,-0.002011937,-0.004625341,0.0090762
4/29/2015,-0.004204569,-0.004144848,-0.014671135,0.000139759,-0.030912083,-0.005280224,-0.013057279,-0.002726822,-0.006260188,0.008551737,0.000794401
4/30/2015,-0.010322613,-0.009941286,-0.027068532,-0.017677062,-0.014069133,-0.022479916,-0.014282176,-0.021004226,-0.015986877,-0.027534895,-0.005732966
5/1/2015,0.009550618,0.010753631,0.030360491,0.002584286,-0.001476196,0.004355194,0.009226986,0.002792941,0.013297164,-8.63E-05,0.016962435
5/4/2015,0.002862976,0.002917381,-0.001953426,0.000402015,-0.007145497,0.003048117,0.008243902,-0.002278769,0.00174255,0.01981591,0.00293826
5/5/2015,-0.007695554,-0.011359827,-0.022288608,-0.004373109,-0.013028912,-0.017726648,-0.030434638,-0.015860931,-0.016491419,0.010587416,-0.005621289
5/6/2015,-0.003502364,-0.004304098,-0.006486756,-0.004962131,0.005783254,-0.01465822,-0.021481158,0.006962352,-0.006699274,-0.010817772,-0.004758279
5/7/2015,0.0049582,0.004157924,0.006320545,0.018563589,0.075,0.013007401,-0.00548772,0.004225352,0.005859122,0.02764614,-0.006676007
5/8/2015,0.014357802,0.013122268,0.018695003,0.015952961,0.012325581,0.012748137,0.023276576,0.001020018,0.012431267,-0.000804475,0.015914956
5/11/2015,-0.004371356,-0.004837543,-0.010262175,-0.001936867,-0.003905353,-0.005774661,-0.006515237,-0.006368615,-0.003897512,0.012171928,-0.016794894
5/12/2015,-0.002040678,-0.002859127,-0.003477097,-0.004227793,0.000576568,-0.012917293,-0.005062704,-0.007050378,-0.004501147,0.021921583,0.002775383
5/13/2015,0.00012393,0.000157784,0.001185219,-0.009628324,0.008758788,0.001410725,-0.009008034,0.012651691,0.002058809,-0.006374111,-0.005280696
5/14/2015,0.010222985,0.010401253,0.023435372,0.012673648,0.009939449,0.01799848,0.007093801,0.037353391,0.014922732,0.00378115,0.004702018
5/15/2015,0.001901246,0.001125253,-0.00143309,-0.014527621,0.000678733,-0.00493445,0.017152681,-0.011675065,0,0.019418311,0.004343987
5/18/2015,0.001163068,0.003054667,0.010715762,-0.001784038,-0.015261135,0.000329375,-0.011326641,0.00571997,0.004349005,-0.000361679,-0.005720058
5/19/2015,0.001400175,-0.000375309,-0.000909432,-0.008301195,0.012627712,0.004774361,0.010726895,-0.003090999,-0.001157285,-0.006470365,0.001640221
5/20/2015,-0.001276102,-0.0006919,-6.77E-05,0.00509829,0.028228092,0.005880425,-0.007382283,-0.000992187,0.000675865,-0.011289148,0.001608322
5/21/2015,0.000489084,0.002989577,0.010541455,0.018331525,0.035060639,0.007782665,-0.004091273,-0.000869025,0.005200645,0.005199509,0.00090414
